DATE	OPEN	CLOSE	HIGH	LOW	LTP	VOLUME	VALUE	NO OF TRADES
2024-01-20	629.0	631.4	633.8	624.1	631.0	9886760	6218702860.5	133765
2024-01-19	633.0	627.75	635.5	624.7	628.7	11675202	7349140974.3	208754
2024-01-18	625.8	628.3	633.45	619.05	628.5	14695436	9220794332.4	239183
2024-01-17	624.0	626.0	636.8	623.0	626.45	30016308	18868396654.85	428458
2024-01-16	640.0	636.9	644.9	633.45	637.55	15025543	9612187789.45	253396
2024-01-15	638.9	640.1	645.5	636.1	640.8	16844018	10784099571.95	300031
2024-01-12	623.8	633.6	636.5	621.1	635.25	16620797	10480104627.65	302558
2024-01-11	626.0	620.2	627.15	618.5	621.25	15533860	9659792551.1	284550
2024-01-10	624.8	621.75	625.3	618.2	622.0	12742464	7927674893.1	213657
2024-01-09	632.0	625.4	634.35	624.5	625.95	13400235	8438088899.05	236123
2024-01-08	640.0	627.0	645.0	625.05	627.9	14739531	9337325175.95	336839
2024-01-05	645.0	641.95	651.75	637.75	641.45	15984585	10310453920.0	272662
2024-01-04	642.5	642.75	646.4	638.65	643.6	13883388	8926355539.75	271568
2024-01-03	639.35	643.45	648.0	635.8	644.5	14571772	9372732858.9	252225
2024-01-02	641.35	639.45	648.0	633.85	639.2	15164482	9712346967.95	249803
2024-01-01	642.2	641.35	646.9	638.0	638.1	8295548	5341716373.3	257804
2023-12-29	645.5	642.05	649.6	639.55	641.7	13221898	8494932618.15	332467
2023-12-28	650.25	651.4	653.3	646.5	649.3	16982092	11046112701.5	301058
2023-12-27	640.75	648.55	649.45	639.0	648.65	14417646	9301972173.2	295473
2023-12-26	638.85	638.05	641.3	635.65	638.5	10153089	6489768989.95	298625
2023-12-22	644.75	636.75	649.4	635.15	637.2	14998068	9633365890.05	307210
2023-12-21	632.15	643.75	648.95	627.5	644.0	19915516	12726451072.85	347188
2023-12-20	658.7	636.45	660.4	633.95	634.55	22542056	14605196613.65	419233
2023-12-19	648.5	655.4	659.6	640.25	656.0	19964008	13034125974.85	384049
